Date,HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
17/01/2026,Charlton,Sheffield United,1,0,4,2
17/01/2026,Oxford,Bristol City,0,0,3,1
17/01/2026,Preston,Derby,0,1,2,4
17/01/2026,Sheffield Weds,Portsmouth,0,1,1,3
17/01/2026,Southampton,Hull,1,2,7,3
17/01/2026,Stoke,QPR,0,0,3,2
17/01/2026,Wrexham,Norwich,1,2,3,3
17/01/2026,Swansea,Birmingham,1,1,4,1
20/01/2026,Charlton,Derby,1,2,4,5
20/01/2026,Coventry,Millwall,2,1,4,4
20/01/2026,Ipswich,Bristol City,2,0,3,3
20/01/2026,Oxford,QPR,0,0,1,2
20/01/2026,Preston,Hull,0,3,5,9
20/01/2026,Sheffield Weds,Birmingham,0,2,1,7
20/01/2026,Swansea,Blackburn,3,1,4,2
20/01/2026,West Brom,Norwich,0,5,2,7
20/01/2026,Wrexham,Leicester,1,1,3,4
21/01/2026,Southampton,Sheffield United,1,0,3,4
21/01/2026,Watford,Portsmouth,1,1,4,2
21/01/2026,Stoke,Middlesbrough,1,2,4,7
23/01/2026,Derby,West Brom,1,1,1,4
24/01/2026,Middlesbrough,Preston,4,0,8,1
24/01/2026,Millwall,Charlton,4,0,6,1
24/01/2026,Birmingham,Stoke,1,1,5,1
24/01/2026,Blackburn,Watford,1,1,3,4
24/01/2026,Bristol City,Sheffield Weds,2,0,7,0
24/01/2026,Hull,Swansea,2,1,7,4
24/01/2026,Leicester,Oxford,1,2,4,2
24/01/2026,QPR,Wrexham,2,3,3,7
24/01/2026,Sheffield United,Ipswich,3,1,8,5
25/01/2026,Portsmouth,Southampton,1,1,3,4
26/01/2026,Norwich,Coventry,2,1,5,5
30/01/2026,Bristol City,Derby,0,5,1,7
31/01/2026,Leicester,Charlton,0,2,1,5
31/01/2026,Sheffield Weds,Wrexham,0,1,2,4
31/01/2026,Stoke,Southampton,0,2,3,4
31/01/2026,Blackburn,Hull,0,1,3,4
31/01/2026,Ipswich,Preston,1,1,5,4
31/01/2026,Middlesbrough,Norwich,1,0,5,3
31/01/2026,Millwall,Sheffield United,1,1,6,6
31/01/2026,Oxford,Birmingham,0,2,4,2
31/01/2026,Portsmouth,West Brom,3,0,6,1
31/01/2026,QPR,Coventry,2,1,8,2
31/01/2026,Watford,Swansea,0,2,5,7
03/02/2026,Blackburn,Sheffield Weds,1,0,6,1
03/02/2026,Hull,Watford,0,0,3,2
03/02/2026,Sheffield United,Oxford,3,1,3,2
06/02/2026,Charlton,QPR,0,0,5,4
07/02/2026,Derby,Ipswich,1,2,1,5
07/02/2026,Norwich,Blackburn,2,0,3,0
07/02/2026,Southampton,Watford,1,0,4,2
07/02/2026,Birmingham,Leicester,2,1,6,2
07/02/2026,Coventry,Oxford,0,0,5,0
07/02/2026,Hull,Bristol City,2,3,5,6
07/02/2026,Preston,Portsmouth,1,0,3,4
07/02/2026,West Brom,Stoke,0,0,2,3
07/02/2026,Wrexham,Millwall,0,2,5,1
08/02/2026,Swansea,Sheffield Weds,4,0,6,0
09/02/2026,Sheffield United,Middlesbrough,1,2,5,9
10/02/2026,Leicester,Southampton,3,4,3,7
10/02/2026,Oxford,Norwich,0,3,1,4
10/02/2026,Birmingham,West Brom,0,0,5,1
11/02/2026,Charlton,Stoke,1,0,4,2
14/02/2026,Derby,Swansea,2,0,6,2
14/02/2026,Portsmouth,Sheffield United,0,1,7,2
14/02/2026,Preston,Watford,2,2,3,5
14/02/2026,QPR,Blackburn,1,3,4,4
14/02/2026,Sheffield Weds,Millwall,1,2,3,6
16/02/2026,Coventry,Middlesbrough,3,1,4,4
17/02/2026,Bristol City,Wrexham,2,2,5,3
17/02/2026,Charlton,Portsmouth,1,3,4,6
20/02/2026,Blackburn,Preston,1,0,3,2
21/02/2026,Hull,QPR,1,3,4,8
21/02/2026,Stoke,Leicester,2,2,3,5
21/02/2026,Swansea,Bristol City,1,0,3,2
21/02/2026,West Brom,Coventry,0,2,1,3
21/02/2026,Middlesbrough,Oxford,0,0,7,2
21/02/2026,Millwall,Portsmouth,1,3,3,8
21/02/2026,Norwich,Birmingham,1,2,9,5
21/02/2026,Southampton,Charlton,1,1,8,3
21/02/2026,Watford,Derby,2,0,8,1
21/02/2026,Wrexham,Ipswich,5,3,10,6
22/02/2026,Sheffield United,Sheffield Weds,2,1,4,2
24/02/2026,Blackburn,Bristol City,1,2,7,5
24/02/2026,Hull,Derby,4,2,3,6
24/02/2026,Middlesbrough,Leicester,1,1,4,6
24/02/2026,Swansea,Preston,1,1,2,3
24/02/2026,Watford,Ipswich,0,2,2,3
24/02/2026,West Brom,Charlton,1,1,2,2
24/02/2026,Wrexham,Portsmouth,2,1,5,1
24/02/2026,Southampton,QPR,5,0,9,1
25/02/2026,Millwall,Birmingham,3,0,5,2
25/02/2026,Norwich,Sheffield Weds,2,0,6,1
25/02/2026,Sheffield United,Coventry,1,2,4,5
25/02/2026,Stoke,Oxford,2,1,9,2
27/02/2026,Bristol City,Watford,1,2,4,4
28/02/2026,Derby,Blackburn,3,1,6,3
28/02/2026,Leicester,Norwich,0,2,3,8
28/02/2026,Portsmouth,Hull,0,1,6,2
28/02/2026,Charlton,Wrexham,0,1,1,2
28/02/2026,Coventry,Stoke,2,1,8,1
28/02/2026,Ipswich,Swansea,3,0,6,3
28/02/2026,Oxford,West Brom,2,1,3,3
28/02/2026,Preston,Millwall,0,2,2,5
28/02/2026,QPR,Sheffield United,0,2,2,3
28/02/2026,Sheffield Weds,Southampton,1,3,3,6
02/03/2026,Birmingham,Middlesbrough,1,3,7,3
03/03/2026,Ipswich,Hull,1,0,7,0
06/03/2026,Preston,Oxford,1,3,4,7
07/03/2026,Blackburn,Portsmouth,1,1,1,1
07/03/2026,Hull,Millwall,1,3,5,4
07/03/2026,Bristol City,Coventry,0,2,6,7
07/03/2026,Charlton,Birmingham,1,0,4,1
07/03/2026,Derby,Sheffield Weds,2,1,4,3
07/03/2026,Ipswich,Leicester,1,1,3,3
07/03/2026,Sheffield United,West Brom,1,1,2,3
07/03/2026,Swansea,Stoke,2,0,4,2
08/03/2026,QPR,Middlesbrough,0,4,3,7
10/03/2026,Leicester,Bristol City,2,0,5,1
10/03/2026,Millwall,Derby,1,0,4,1
10/03/2026,Portsmouth,Swansea,1,2,4,3
10/03/2026,Sheffield Weds,Watford,1,1,4,5
10/03/2026,Wrexham,Hull,1,2,2,5
10/03/2026,Stoke,Ipswich,3,3,6,5
11/03/2026,Birmingham,QPR,1,0,6,1
11/03/2026,Middlesbrough,Charlton,0,1,7,2
11/03/2026,Norwich,Sheffield United,2,1,7,2
11/03/2026,Oxford,Blackburn,1,0,7,2
11/03/2026,West Brom,Southampton,1,1,6,4
11/03/2026,Coventry,Preston,3,0,9,2
13/03/2026,Wrexham,Swansea,2,0,2,3
14/03/2026,Coventry,Southampton,1,2,6,3
14/03/2026,Middlesbrough,Bristol City,1,1,7,1
14/03/2026,Oxford,Charlton,1,1,2,1
14/03/2026,Birmingham,Sheffield United,1,1,7,3
14/03/2026,Leicester,QPR,1,3,2,3
14/03/2026,Millwall,Blackburn,1,2,3,4
14/03/2026,Norwich,Preston,2,0,4,4
14/03/2026,Sheffield Weds,Ipswich,0,2,2,6
14/03/2026,Stoke,Watford,3,1,12,4
14/03/2026,West Brom,Hull,3,0,8,2
16/03/2026,Portsmouth,Derby,0,1,9,4
17/03/2026,Watford,Wrexham,3,1,6,1
18/03/2026,Southampton,Norwich,1,0,4,7
20/03/2026,Preston,Stoke,3,1,3,2
21/03/2026,Blackburn,Middlesbrough,0,0,1,3
21/03/2026,Derby,Birmingham,1,0,6,0
21/03/2026,Ipswich,Millwall,1,1,4,3
21/03/2026,Bristol City,West Brom,0,1,1,6
21/03/2026,Charlton,Norwich,0,1,2,5
