Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgCH,AvgCD,AvgCA
04/04/2024,Liverpool,Sheffield United,3,1,1.07,14.54,27.64
04/04/2024,Chelsea,Man United,4,3,1.82,4.27,3.92
06/04/2024,Crystal Palace,Man City,2,4,8.9,5.22,1.36
06/04/2024,Aston Villa,Brentford,3,3,1.65,4.18,5.22
06/04/2024,Everton,Burnley,1,0,1.76,3.89,4.68
06/04/2024,Fulham,Newcastle,0,1,2.44,3.66,2.78
06/04/2024,Luton,Bournemouth,2,1,3.75,3.93,1.93
06/04/2024,Wolves,West Ham,1,2,2.82,3.45,2.5
06/04/2024,Brighton,Arsenal,0,3,6.32,4.56,1.51
07/04/2024,Man United,Liverpool,2,2,4.9,4.8,1.6
07/04/2024,Sheffield United,Chelsea,2,2,6.6,5.2,1.44
07/04/2024,Tottenham,Nott'm Forest,3,1,1.43,5.25,6.55
13/04/2024,Newcastle,Tottenham,4,0,2.64,3.97,2.45
13/04/2024,Brentford,Sheffield United,2,0,1.49,4.84,6.15
13/04/2024,Burnley,Brighton,1,1,3.84,3.96,1.89
13/04/2024,Man City,Luton,5,1,1.09,12.33,24.13
13/04/2024,Nott'm Forest,Wolves,2,2,2.07,3.51,3.69
13/04/2024,Bournemouth,Man United,2,2,2.39,3.97,2.71
14/04/2024,Liverpool,Crystal Palace,0,1,1.19,7.77,13.5
14/04/2024,West Ham,Fulham,0,2,2.43,3.59,2.85
14/04/2024,Arsenal,Aston Villa,0,2,1.27,6.47,10.91
15/04/2024,Chelsea,Everton,6,0,1.69,4.14,4.89
20/04/2024,Luton,Brentford,1,5,2.87,3.59,2.41
20/04/2024,Sheffield United,Burnley,1,4,2.64,3.52,2.65
20/04/2024,Wolves,Arsenal,0,2,11.3,6.11,1.27
21/04/2024,Everton,Nott'm Forest,2,0,2.27,3.29,3.38
21/04/2024,Aston Villa,Bournemouth,3,1,1.86,4.06,3.92
21/04/2024,Crystal Palace,West Ham,5,2,2.23,3.5,3.25
21/04/2024,Fulham,Liverpool,1,3,4.59,4.4,1.68
23/04/2024,Arsenal,Chelsea,5,0,1.39,5.21,7.66
24/04/2024,Wolves,Bournemouth,0,1,2.77,3.61,2.48
24/04/2024,Crystal Palace,Newcastle,2,0,3.08,3.64,2.26
24/04/2024,Everton,Liverpool,2,0,7.43,5.14,1.39
24/04/2024,Man United,Sheffield United,4,2,1.31,6.15,8.4
25/04/2024,Brighton,Man City,0,4,7.99,5.65,1.36
27/04/2024,West Ham,Liverpool,2,2,5.26,4.81,1.55
27/04/2024,Fulham,Crystal Palace,1,1,2.1,3.48,3.56
27/04/2024,Man United,Burnley,1,1,1.5,5.09,5.59
27/04/2024,Newcastle,Sheffield United,5,1,1.22,7.35,11.45
27/04/2024,Wolves,Luton,2,1,1.9,3.84,3.87
27/04/2024,Everton,Brentford,1,0,2.84,3.42,2.49
27/04/2024,Aston Villa,Chelsea,2,2,2.06,3.98,3.28
28/04/2024,Bournemouth,Brighton,3,0,1.96,4.07,3.49
28/04/2024,Tottenham,Arsenal,2,3,4.42,4.17,1.74
28/04/2024,Nott'm Forest,Man City,0,2,10.37,5.96,1.28
02/05/2024,Chelsea,Tottenham,2,0,2.46,4.0,2.6
03/05/2024,Luton,Everton,1,1,2.77,3.62,2.48
04/05/2024,Arsenal,Bournemouth,3,0,1.22,7.12,12.18
04/05/2024,Brentford,Fulham,0,0,2.07,3.82,3.36
04/05/2024,Burnley,Newcastle,1,4,3.35,4.08,2.01
04/05/2024,Sheffield United,Nott'm Forest,1,3,4.83,4.2,1.68
04/05/2024,Man City,Wolves,5,1,1.1,12.16,23.44
05/05/2024,Brighton,Aston Villa,1,0,2.45,3.81,2.7
05/05/2024,Chelsea,West Ham,5,0,1.5,5.05,5.71
05/05/2024,Liverpool,Tottenham,4,2,1.43,5.69,6.13
06/05/2024,Crystal Palace,Man United,4,0,2.03,3.93,3.43
11/05/2024,Fulham,Man City,0,4,11.13,7.21,1.23
11/05/2024,Bournemouth,Brentford,1,2,2.11,3.9,3.22
11/05/2024,Everton,Sheffield United,1,0,1.43,5.05,7.08
11/05/2024,Newcastle,Brighton,1,1,1.59,4.75,4.99
11/05/2024,Tottenham,Burnley,2,1,1.32,6.25,8.08
11/05/2024,West Ham,Luton,3,1,1.86,4.23,3.76
11/05/2024,Wolves,Crystal Palace,1,3,3.2,3.55,2.24
11/05/2024,Nott'm Forest,Chelsea,2,3,4.11,3.99,1.84
12/05/2024,Man United,Arsenal,0,1,9.06,6.14,1.3
13/05/2024,Aston Villa,Liverpool,3,3,3.83,4.53,1.79
14/05/2024,Tottenham,Man City,0,2,6.73,6.02,1.38
15/05/2024,Brighton,Chelsea,1,2,3.25,4.08,2.06
15/05/2024,Man United,Newcastle,3,2,2.7,3.95,2.4
19/05/2024,Arsenal,Everton,2,1,1.22,7.25,12.71
19/05/2024,Brentford,Newcastle,2,4,2.94,4.01,2.2
19/05/2024,Brighton,Man United,0,2,2.62,4.02,2.44
19/05/2024,Burnley,Nott'm Forest,1,2,2.9,3.79,2.32
19/05/2024,Chelsea,Bournemouth,2,1,1.4,5.56,6.88
19/05/2024,Crystal Palace,Aston Villa,5,0,1.66,4.49,4.68
19/05/2024,Liverpool,Wolves,2,0,1.13,10.0,17.17
19/05/2024,Luton,Fulham,2,4,3.05,3.93,2.18
19/05/2024,Man City,West Ham,3,1,1.07,14.3,28.36
19/05/2024,Sheffield United,Tottenham,0,3,7.72,5.98,1.35
